NNLS: Solver (v) 1.0
(c) 2010 Suvrit Sra
Matrix = 12121800 bytes, rhs = 10680 bytes
Extra Memory used=207884 bytes
Time		Obj
17.563	5.3167843e+011	1.1932484e+042
17.688	5.3143122e+011	1.3050219e+042
17.813	5.3120346e+011	1.0472327e+042
17.938	5.3100308e+011	1.047085e+042
18.063	5.2800517e+011	1.0469321e+042
18.172	5.2205562e+011	5.8995327e+042
18.297	5.2099925e+011	2.032744e+042
18.422	5.2050955e+011	1.0373476e+042
18.547	5.1828717e+011	1.0369141e+042
18.656	5.181595e+011	1.0346177e+042
18.781	5.1795524e+011	1.034537e+042
18.906	5.17774e+011	1.0343439e+042
19.031	5.1312531e+011	1.0341693e+042
19.156	5.1246706e+011	1.1139122e+042
19.266	5.1186124e+011	1.0288092e+042
19.391	5.1160637e+011	1.0281985e+042
19.516	4.6320004e+011	1.0279408e+042
19.641	4.6338766e+011	1.914134e+042
19.750	5.8780686e+011	3.099942e+042
19.875	4.7002064e+011	2.4606036e+043
20.000	4.6355985e+011	9.7133439e+042
20.125	4.615932e+011	5.755658e+042
20.250	4.6099026e+011	3.1098161e+042
20.359	4.6086328e+011	9.7492876e+041
20.484	4.5941232e+011	9.7482624e+041
20.609	4.5908028e+011	9.7335623e+041
20.734	4.5817431e+011	9.7312241e+041
20.859	4.5793237e+011	9.7215256e+041
20.969	4.5649476e+011	9.7191656e+041
21.094	4.5483374e+011	9.7039301e+041
21.219	3.6233683e+011	9.6861808e+041
21.328	3.6093783e+011	5.6690448e+042
21.453	3.5877773e+011	7.7605773e+042
21.578	3.5849484e+011	3.133865e+042
21.703	3.577051e+011	2.8582104e+042
21.813	3.5740807e+011	2.1224582e+042
21.938	3.5672105e+011	1.6751048e+042
22.063	3.5647434e+011	2.3751351e+042
22.172	3.5618533e+011	9.2673389e+041
22.297	3.5603489e+011	1.6296978e+042
22.422	3.5590499e+011	8.6591004e+041
22.531	3.5563069e+011	9.2051102e+041
22.656	3.5409577e+011	8.5456132e+041
22.781	3.5403106e+011	8.5296878e+041
22.891	3.5394992e+011	8.5295196e+041
23.016	3.5390103e+011	8.5288223e+041
23.141	3.5253831e+011	8.5283208e+041
23.250	3.514738e+011	2.1102952e+042
23.375	3.5134418e+011	8.5004371e+041
23.500	3.511903e+011	8.4990449e+041
23.625	3.4371584e+011	8.4972008e+041
23.734	3.4355657e+011	8.4050267e+041
23.859	3.4332545e+011	8.4028199e+041
23.984	3.4326049e+011	8.4005519e+041
24.094	3.4291382e+011	8.3999009e+041
24.219	3.427724e+011	8.3957525e+041
24.344	3.3772422e+011	8.3940678e+041
24.469	3.3714788e+011	1.0664254e+042
24.578	3.3672702e+011	8.3238241e+041
24.703	3.366044e+011	8.318437e+041
24.828	3.3589333e+011	8.3171488e+041
24.953	3.3571295e+011	8.3082437e+041
25.063	3.2385349e+011	8.30601e+041
25.188	3.2297462e+011	1.9964462e+042
25.313	3.2271967e+011	8.1443721e+041
25.438	3.2259697e+011	8.1405478e+041
25.547	3.2247581e+011	8.1397898e+041
25.672	3.2239008e+011	8.1382746e+041
25.797	2.7996387e+011	8.1371832e+041
25.922	2.5735336e+011	9.3032808e+042
26.063	2.5878446e+011	3.5115295e+042
26.188	2.5752265e+011	4.6598916e+042
26.313	2.5705163e+011	2.4956887e+042
26.438	2.56742e+011	2.7801164e+042
26.547	2.5633555e+011	1.7375022e+042
26.672	2.5612551e+011	2.3649056e+042
26.797	2.560007e+011	7.7879474e+041
26.922	2.5591249e+011	1.1219352e+042
27.031	3.0052003e+011	7.2324411e+041
27.156	2.5058157e+011	2.0438303e+043
27.281	2.4971426e+011	2.7307403e+042
27.391	2.4948e+011	1.2811398e+042
27.516	2.4935715e+011	7.1411711e+041
27.641	2.4926556e+011	7.5277527e+041
27.766	2.4920837e+011	7.1391072e+041
27.875	2.4913541e+011	7.1383668e+041
28.000	2.4702582e+011	7.1373999e+041
28.125	2.4328773e+011	4.2390037e+042
28.250	2.4278358e+011	1.3030345e+042
28.375	2.4257218e+011	7.0442051e+041
28.485	2.418023e+011	7.0414472e+041
28.610	2.4172777e+011	7.0298701e+041
28.735	2.4160567e+011	7.0290454e+041
28.844	2.4156323e+011	7.0273109e+041
28.969	2.4041714e+011	7.0267162e+041
29.094	2.402112e+011	7.1017364e+041
29.203	2.4001861e+011	7.0066849e+041
29.328	2.3986663e+011	7.003878e+041
29.453	2.0190173e+011	7.0016251e+041
29.563	2.0154015e+011	2.9890398e+042
29.688	2.0089553e+011	3.7969585e+042
29.813	2.0082775e+011	1.7997878e+042
29.938	2.0056282e+011	7.9220534e+041
30.047	2.0041545e+011	1.8690878e+042
30.172	2.003216e+011	7.1360229e+041
30.297	2.0014676e+011	6.3823962e+041
30.422	1.9812573e+011	6.3802641e+041
30.531	1.9805621e+011	6.3494978e+041
30.656	1.9795188e+011	6.3487305e+041
30.781	1.9790885e+011	6.3472283e+041
30.906	1.9751796e+011	6.346619e+041
31.016	1.9737986e+011	6.3402867e+041
31.141	1.9664271e+011	6.338221e+041
31.266	1.9651238e+011	6.3256271e+041
31.375	1.9631994e+011	6.324163e+041
31.500	1.9621272e+011	6.3210411e+041
31.625	1.8117613e+011	6.319301e+041
31.750	1.7413191e+011	7.6422955e+042
31.875	1.7574996e+011	5.9436781e+041
31.985	1.7399737e+011	3.5337798e+042
32.110	1.7391345e+011	1.0153011e+042
32.235	1.7387035e+011	5.9404245e+041
32.344	1.737991e+011	5.9399451e+041
32.469	1.7376102e+011	5.9387143e+041
32.594	1.7198917e+011	5.9380625e+041
32.703	1.7185228e+011	6.1436375e+041
32.828	1.7173478e+011	5.9045691e+041
32.953	1.716364e+011	5.9025349e+041
33.063	1.3483034e+011	5.9008103e+041
33.188	1.299162e+011	5.2102723e+042
33.313	1.5174052e+011	1.6522025e+042
33.422	1.3151355e+011	1.1583216e+043
33.547	1.298286e+011	4.4273663e+042
33.672	1.2919662e+011	2.062907e+042
33.797	1.2913644e+011	7.8143762e+041
33.906	1.2910097e+011	5.0897922e+041
34.031	1.2854478e+011	5.0893507e+041
34.156	1.2840972e+011	7.6815252e+041
34.281	1.2831524e+011	5.0784356e+041
34.391	1.2827698e+011	5.0769344e+041
34.516	1.2793572e+011	5.0763611e+041
34.641	1.2745533e+011	5.0700763e+041
34.766	1.3074379e+011	5.0607253e+041
34.875	1.2781e+011	6.7337255e+042
35.000	1.2655466e+011	4.605511e+042
35.125	1.2601445e+011	4.208482e+042
35.250	1.2446974e+011	3.7524553e+042
35.375	1.2399966e+011	3.7109848e+042
35.500	1.2329044e+011	2.7269683e+042
35.610	1.2299876e+011	3.1057849e+042
35.735	1.2277523e+011	1.5554445e+042
35.860	1.2258843e+011	1.2422269e+042
35.985	1.2288024e+011	1.2587906e+042
36.094	1.218193e+011	3.2333649e+042
36.219	1.2177093e+011	8.0417083e+041
36.344	1.2174713e+011	5.9204819e+041
36.453	3.2303892e+011	4.931904e+041
36.578	1.3832025e+011	2.9154035e+043
36.703	1.1945905e+011	1.0185602e+043
36.828	1.1660038e+011	3.2896257e+042
36.938	1.1627017e+011	1.1131494e+042
37.063	1.1619976e+011	4.8265818e+041
37.188	1.1603079e+011	4.8254489e+041
37.313	1.1599231e+011	4.8218036e+041
37.438	1.1594447e+011	4.821172e+041
37.547	1.1592342e+011	4.8201605e+041
37.672	1.1439188e+011	4.8197161e+041
37.797	1.1406832e+011	4.7867887e+041
37.922	2.6637325e+011	4.7793898e+041
38.047	1.313422e+011	3.020157e+043
38.157	1.1567483e+011	1.0507021e+043
38.282	1.1281478e+011	3.9902413e+042
38.407	1.1246344e+011	1.3747774e+042
38.532	1.1231533e+011	7.1710275e+041
38.641	1.1221673e+011	4.7412985e+041
38.766	1.1217981e+011	4.7395242e+041
38.891	1.1096528e+011	4.7387495e+041
39.016	1.108057e+011	7.619709e+041
39.141	1.1112318e+011	4.7083645e+041
39.250	1.1062779e+011	1.7177082e+042
39.375	1.1058941e+011	4.7368655e+041
39.500	1.1056452e+011	4.7037921e+041
39.625	1.1034731e+011	4.7032962e+041
39.735	1.103231e+011	4.698468e+041
39.860	1.1013059e+011	4.6979745e+041
39.985	1.1008272e+011	4.6937211e+041
40.110	1.0821534e+011	4.6926736e+041
40.219	1.08125e+011	4.6503284e+041
40.344	1.0798352e+011	4.6491262e+041
40.469	1.0786893e+011	4.6459981e+041
40.594	7.0855778e+010	4.6434365e+041
40.719	7.5167985e+010	2.8618888e+042
40.828	9.9326226e+012	6.8556613e+042
40.953	1.3305194e+012	2.899049e+044
41.078	4.8848039e+011	1.2316074e+044
41.203	1.4571932e+011	7.3654337e+043
41.328	7.9685154e+010	3.0955335e+043
41.453	6.9763395e+010	1.2564553e+043
41.563	6.8531229e+010	4.5429488e+042
41.688	6.8389445e+010	1.469459e+042
41.813	6.8338356e+010	7.4328733e+041
41.938	6.8305125e+010	5.5732427e+041
42.047	7.9414367e+010	5.7319271e+041
42.172	6.8510821e+010	9.0965853e+042
42.297	6.7511169e+010	3.2239301e+042
42.422	6.7328905e+010	1.2453107e+042
42.532	6.7295067e+010	3.6216638e+041
42.657	6.727974e+010	3.6211411e+041
42.766	6.7254591e+010	3.6207904e+041
42.891	6.7242475e+010	3.6201324e+041
43.016	6.6953478e+010	3.6198087e+041
43.141	6.6902947e+010	3.6119484e+041
43.250	6.6910749e+010	3.6105896e+041
43.375	6.6744192e+010	9.0218619e+041
43.500	6.6722509e+010	3.605976e+041
43.610	6.6703108e+010	3.6056507e+041
43.735	6.6578069e+010	3.605168e+041
43.860	6.6562641e+010	3.6017096e+041
43.985	6.6364029e+010	3.6013051e+041
44.110	6.6324796e+010	3.595735e+041
44.219	6.6149784e+010	3.5947014e+041
44.344	6.6101497e+010	5.2727693e+041
44.469	6.6075789e+010	3.5884803e+041
