
S 3 10 12

1E5
      1     10    20    30    40    50    60    70    80    89
2	2.70	2.60	2.30	2.00	2.00	1.90	2.00	2.10	2.20	2.40
3	3.90	1.90	1.70	1.40	1.10	1.10	1.10	1.20	1.20	1.30
4	10.8	2.60	1.40	1.10	0.90	0.60	0.50	0.50	0.50	0.70
5	13.9	5.90	2.60	1.20	0.80	0.50	0,20	0.10	0.10	0.50
6	14.1	9.00	4.90	2.70	1.50	0.80	0.40	0.20	0.10	0.40
7	14.2	11.9	7.20	4.50	2.90	1.90	1.20	0.80	0.70	0.80
8	14.2	13.7	9.40	6.30	4.50	3.30	2.40	2.00	1.70	1.70
10	14.2	14.2	13.0	9.70	7.40	5.90	4.90	4.30	3.90	3.80
12	14.2	14.3	14.2	12.5	10.1	8.40	7.20	6.40	6.10	5.90
14	14.3	14.3	14.3	14.0	12.4	10.6	9.30	8.50	8.00	7.90
16	14.3	14.3	14.3	14.2	13.8	12.5	11.3	10.4	9.90	9.70
20	14.2	14.2	14.3	14.3	14.3	14.2	13.8	13.3	12.9	12.8

1E6
      1     10    20    30    40    50    60    70    80    89
2	2.60	2.50	2.00	1.90	1.90	1.90	1.90	2.00	2.10	2.20
3	2.70	1.80	1.50	1.10	1.10	1.10	1.10	1.10  1.10	1.10
4	8.30	1.50	1.20	0.80	0.50	0.50	0.50	0.50	0.50	0.50
5	11.4	3.50	1.00	0.60	0.30	0.00	0.00	0.00	0.00	0.00
6	11.6	6.50	2.50	0.80	0.30	0.00 -0.30 -0.40 -0.40 -0.10
7	11.7	9.40	4.70	2.10	0.80	0.10 -0.20 -0.50 -0.60 -0.20
8	11.7	11.2	6.90	3.90	2.00	0.90	0.30 -0.10 -0.30 -0.10
10	11.7	11.7	10.5	7.20	4.90	3.40	2.40	1.80	1.40	1.40
12	11.8	11.8	11.7	10.1	7.60	5.90	4.70	3.90	3.60	3.40
14	11.8	11.8	11.8	11.5	9.90	8.10	6.80	6.00	5.50	5.40
16	11.8	11.8	11.8	11.8	11.4	10.1	8.80	7.90	7.40	7.20
20	11.9	11.9	11.9	11.9	11.8	11.7	11.4	10.9	10.4	10.30

1E7
      1     10    20    30    40    50    60    70    80    89
2	2.50	2.20	1.90	1.90	1.90	1.90  1.90	1.90	2.00  2.10
3	2.10	1.80	1.10	1.10	1.10	1.10	1.10	1.10	1.10	1.10
4	5.90	1.20	0.90	0.50	0.50	0.50	0.50	0.50	0.50	0.50
5	8.90	1.60	0.70	0.20	0.00	0.00	0.00	0.00	0.00	0.00
6	9.10	4.10	0.80	0.20 -0.20 -0.40 -0.40 -0.40 -0.40 -0.40
7	9.20	6.90	2.30	0.40 -0.20 -0.50 -0.70 -0.70 -0.70 -0.60
8	9.20	8.70	4.40	1.50	0.10 -0.50 -0.80 -1.00 -1.00 -0.70
10	9.20	9.20	8.00	4.70	2.50	1.00	0.10 -0.40 -0.70 -0.50
12	9.30	9.30	9.20	7.60	5.10	3.40	2.20	1.50	1.10	1.00
14	9.30	9.30	9.30	9.00	7.40	5.60	4.30	3.50	3.00	2.90
16	9.30	9.30	9.30	9.30	8.90	7.60	6.30	5.40	4.90	4.70
20	9.40	9.40	9.40	9.40	9.40	9.20	8.90	8.40	7.90	7.80
