S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	4,2183E-037	2,0624E-035	4,2948E-034	3,4108E-033	1,7466E-032	7,0371E-032	2,4202E-031	7,3257E-031	1,9718E-030	4,8043E-030	1,0744E-029	2,2366E-029	4,3855E-029	8,1617E-029	1,4490E-028	2,4630E-028	4,0219E-028	6,3296E-028	9,6300E-028	1,4202E-027	2,0353E-027	2,8406E-027	3,8682E-027	5,1488E-027	6,7096E-027	8,5728E-027	1,0755E-026	1,3267E-026	1,6115E-026	1,9306E-026	2,2855E-026	2,6804E-026	3,1249E-026	3,6406E-026	4,2747E-026	5,1345E-026	6,4856E-026	9,1068E-026	1,6055E-025	4,8732E-025	3,5770E-024	
10,00	0,0000E000	8,6048E-038	2,0354E-034	1,1942E-032	2,2220E-031	2,1932E-030	1,4237E-029	6,8528E-029	2,6350E-028	8,5049E-028	2,3858E-027	5,9663E-027	1,3557E-026	2,8404E-026	5,5515E-026	1,0216E-025	1,7835E-025	2,9721E-025	4,7524E-025	7,3235E-025	1,0916E-024	1,5789E-024	2,2219E-024	3,0495E-024	4,0903E-024	5,3713E-024	6,9168E-024	8,7470E-024	1,0877E-023	1,3319E-023	1,6078E-023	1,9160E-023	2,2572E-023	2,6332E-023	3,0473E-023	3,5068E-023	4,0252E-023	4,6286E-023	5,3669E-023	6,3383E-023	7,7519E-023	1,0100E-022	1,4741E-022	2,6462E-022	6,8815E-022	1,8243E-021	
15,00	0,0000E000	4,0313E-033	7,3574E-031	1,8681E-029	1,9768E-028	1,2631E-027	5,7795E-027	2,0818E-026	6,2639E-026	1,6379E-025	3,8256E-025	8,1434E-025	1,6041E-024	2,9587E-024	5,1567E-024	8,5569E-024	1,3601E-023	2,0811E-023	3,0783E-023	4,4173E-023	6,1679E-023	8,4019E-023	1,1191E-022	1,4603E-022	1,8701E-022	2,3540E-022	2,9168E-022	3,5621E-022	4,2930E-022	5,1117E-022	6,0207E-022	7,0234E-022	8,1256E-022	9,3378E-022	1,0679E-021	1,2185E-021	1,3916E-021	1,5982E-021	1,8583E-021	2,2102E-021	2,7322E-021	3,6006E-021	5,2684E-021	9,1013E-021	1,9436E-020	3,3881E-020	
20,00	0,0000E000	1,4339E-030	1,1838E-028	1,8476E-027	1,3925E-026	6,8332E-026	2,5177E-025	7,5634E-025	1,9510E-024	4,4698E-024	9,3029E-024	1,7883E-023	3,2167E-023	5,4703E-023	8,8636E-023	1,3769E-022	2,0611E-022	2,9859E-022	4,2017E-022	5,7608E-022	7,7142E-022	1,0112E-021	1,3001E-021	1,6425E-021	2,0420E-021	2,5015E-021	3,0234E-021	3,6098E-021	4,2623E-021	4,9827E-021	5,7735E-021	6,6390E-021	7,5867E-021	8,6295E-021	9,7897E-021	1,1105E-020	1,2638E-020	1,4500E-020	1,6884E-020	2,0148E-020	2,5002E-020	3,2952E-020	4,7527E-020	7,7510E-020	1,3968E-019	1,9801E-019	
25,00	0,0000E000	7,7269E-029	4,2143E-027	4,8271E-026	2,8284E-025	1,1398E-024	3,6024E-024	9,5653E-024	2,2219E-023	4,6391E-023	8,8857E-023	1,5869E-022	2,6759E-022	4,2976E-022	6,6131E-022	9,7988E-022	1,4048E-021	1,9570E-021	2,6574E-021	3,5263E-021	4,5831E-021	5,8454E-021	7,3283E-021	9,0447E-021	1,1007E-020	1,3226E-020	1,5709E-020	1,8458E-020	2,1480E-020	2,4784E-020	2,8389E-020	3,2320E-020	3,6622E-020	4,1368E-020	4,6677E-020	5,2745E-020	5,9892E-020	6,8658E-020	7,9970E-020	9,5492E-020	1,1837E-019	1,5488E-019	2,1817E-019	3,3440E-019	5,2827E-019	6,6836E-019	
30,00	0,0000E000	1,7103E-027	5,8065E-026	5,4238E-025	2,7517E-024	9,7624E-024	2,7441E-023	6,5617E-023	1,3944E-022	2,7076E-022	4,8891E-022	8,3014E-022	1,3358E-021	2,0511E-021	3,0262E-021	4,3191E-021	5,9944E-021	8,1145E-021	1,0732E-020	1,3890E-020	1,7634E-020	2,2013E-020	2,7070E-020	3,2831E-020	3,9317E-020	4,6549E-020	5,4547E-020	6,3328E-020	7,2906E-020	8,3307E-020	9,4587E-020	1,0686E-019	1,2029E-019	1,3516E-019	1,5188E-019	1,7113E-019	1,9396E-019	2,2212E-019	2,5851E-019	3,0821E-019	3,8031E-019	4,9172E-019	6,7360E-019	9,7346E-019	1,3930E-018	1,6467E-018	
35,00	0,0000E000	2,2506E-026	4,9617E-025	3,6052E-024	1,5886E-023	5,1539E-023	1,3539E-022	3,0467E-022	6,0963E-022	1,1141E-021	1,8976E-021	3,0589E-021	4,7190E-021	7,0162E-021	1,0091E-020	1,4067E-020	1,9039E-020	2,5097E-020	3,2351E-020	4,0958E-020	5,1078E-020	6,2817E-020	7,6195E-020	9,1184E-020	1,0778E-019	1,2603E-019	1,4602E-019	1,6783E-019	1,9152E-019	2,1716E-019	2,4491E-019	2,7508E-019	3,0811E-019	3,4477E-019	3,8618E-019	4,3402E-019	4,9099E-019	5,6135E-019	6,5207E-019	7,7477E-019	9,4926E-019	1,2094E-018	1,6091E-018	2,2063E-018	2,9323E-018	3,3191E-018	
40,00	0,0000E000	1,7586E-025	3,1194E-024	1,8299E-023	6,8400E-023	1,9793E-022	4,8178E-022	1,0306E-021	1,9898E-021	3,5317E-021	5,8429E-021	9,1139E-021	1,3543E-020	1,9354E-020	2,6828E-020	3,6308E-020	4,8168E-020	6,2721E-020	8,0122E-020	1,0034E-019	1,2326E-019	1,4884E-019	1,7724E-019	2,0885E-019	2,4409E-019	2,8316E-019	3,2603E-019	3,7253E-019	4,2255E-019	4,7615E-019	5,3387E-019	5,9643E-019	6,6496E-019	7,4125E-019	8,2770E-019	9,2782E-019	1,0471E-018	1,1942E-018	1,3828E-018	1,6346E-018	1,9847E-018	2,4875E-018	3,2161E-018	4,2137E-018	5,2980E-018	5,8252E-018	
45,00	0,0000E000	8,7434E-025	1,4279E-023	7,4947E-023	2,4877E-022	6,4459E-022	1,4294E-021	2,8438E-021	5,2113E-021	8,9345E-021	1,4470E-020	2,2278E-020	3,2764E-020	4,6231E-020	6,2883E-020	8,2912E-020	1,0662E-019	1,3454E-019	1,6749E-019	2,0636E-019	2,5183E-019	3,0400E-019	3,6236E-019	4,2594E-019	4,9391E-019	5,6574E-019	6,4197E-019	7,2360E-019	8,1200E-019	9,0864E-019	1,0147E-018	1,1312E-018	1,2597E-018	1,4032E-018	1,5655E-018	1,7524E-018	1,9738E-018	2,2453E-018	2,5906E-018	3,0449E-018	3,6612E-018	4,5134E-018	5,6806E-018	7,1586E-018	8,6241E-018	9,2886E-018	
