S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	-6,5097E-035	-2,7111E-033	-2,3698E-032	-1,6766E-031	-6,7795E-031	-2,1154E-030	-5,3010E-030	-1,1750E-029	-2,4253E-029	-4,7095E-029	-8,6691E-029	-1,5148E-028	-2,5277E-028	-4,0424E-028	-6,2088E-028	-9,1906E-028	-1,3146E-027	-1,8201E-027	-2,4451E-027	-3,1920E-027	-4,0562E-027	-5,0234E-027	-6,0697E-027	-7,1623E-027	-8,2600E-027	-9,3162E-027	-1,0282E-026	-1,1110E-026	-1,1761E-026	-1,2209E-026	-1,2450E-026	-1,2513E-026	-1,2478E-026	-1,2526E-026	-1,3055E-026	-1,5135E-026	-2,2631E-026	-4,6662E-028	
10,00	0,0000E000	0,0000E000	-5,9109E-034	-7,9452E-032	-1,6887E-030	-1,5067E-029	-8,8151E-029	-3,8954E-028	-1,3943E-027	-4,2240E-027	-1,1186E-026	-2,6508E-026	-5,7231E-026	-1,1413E-025	-2,1255E-025	-3,7290E-025	-6,2077E-025	-9,8633E-025	-1,5031E-024	-2,2063E-024	-3,1297E-024	-4,3037E-024	-5,7512E-024	-7,4853E-024	-9,5058E-024	-1,1798E-023	-1,4330E-023	-1,7055E-023	-1,9909E-023	-2,2814E-023	-2,5684E-023	-2,8426E-023	-3,0950E-023	-3,3171E-023	-3,5022E-023	-3,6456E-023	-3,7461E-023	-3,8067E-023	-3,8367E-023	-3,8545E-023	-3,8935E-023	-4,0158E-023	-4,3437E-023	-5,1341E-023	-6,6010E-023	-4,9735E-025	
15,00	0,0000E000	-3,2841E-031	-3,0095E-029	-5,0212E-028	-4,0157E-027	-2,0768E-026	-8,0201E-026	-2,5084E-025	-6,6834E-025	-1,5691E-024	-3,3247E-024	-6,4719E-024	-1,1729E-023	-1,9996E-023	-3,2333E-023	-4,9922E-023	-7,3994E-023	-1,0576E-022	-1,4630E-022	-1,9652E-022	-2,5698E-022	-3,2790E-022	-4,0904E-022	-4,9971E-022	-5,9871E-022	-7,0436E-022	-8,1461E-022	-9,2700E-022	-1,0388E-021	-1,1473E-021	-1,2496E-021	-1,3431E-021	-1,4254E-021	-1,4948E-021	-1,5500E-021	-1,5910E-021	-1,6187E-021	-1,6360E-021	-1,6479E-021	-1,6629E-021	-1,6948E-021	-1,7671E-021	-1,9175E-021	-2,1853E-021	-2,3135E-021	-1,1503E-023	
20,00	0,0000E000	-2,5708E-028	-9,1005E-027	-8,9261E-026	-4,7941E-025	-1,8091E-024	-5,4043E-024	-1,3642E-023	-3,0270E-023	-6,0624E-023	-1,1171E-022	-1,9214E-022	-3,1188E-022	-4,8167E-022	-7,1239E-022	-1,0144E-021	-1,3967E-021	-1,8665E-021	-2,4284E-021	-3,0834E-021	-3,8286E-021	-4,6579E-021	-5,5621E-021	-6,5277E-021	-7,5376E-021	-8,5717E-021	-9,6094E-021	-1,0629E-020	-1,1608E-020	-1,2525E-020	-1,3360E-020	-1,4095E-020	-1,4718E-020	-1,5222E-020	-1,5607E-020	-1,5880E-020	-1,6059E-020	-1,6179E-020	-1,6289E-020	-1,6468E-020	-1,6834E-020	-1,7550E-020	-1,8783E-020	-2,0233E-020	-1,8109E-020	-7,3336E-023	
25,00	0,0000E000	-2,5986E-026	-4,9992E-025	-3,2548E-024	-1,3225E-023	-4,0456E-023	-1,0172E-022	-2,2134E-022	-4,3138E-022	-7,7140E-022	-1,2877E-021	-2,0310E-021	-3,0523E-021	-4,3974E-021	-6,1048E-021	-8,2053E-021	-1,0721E-020	-1,3661E-020	-1,7016E-020	-2,0760E-020	-2,4851E-020	-2,9234E-020	-3,3836E-020	-3,8580E-020	-4,3387E-020	-4,8179E-020	-5,2859E-020	-5,7321E-020	-6,1468E-020	-6,5226E-020	-6,8544E-020	-7,1383E-020	-7,3718E-020	-7,5541E-020	-7,6873E-020	-7,7772E-020	-7,8343E-020	-7,8747E-020	-7,9216E-020	-8,0072E-020	-8,1729E-020	-8,4595E-020	-8,8474E-020	-8,9661E-020	-7,0427E-020	-2,5474E-022	
30,00	0,0000E000	-6,9414E-025	-9,7799E-024	-4,9713E-023	-1,6241E-022	-4,1471E-022	-9,0300E-022	-1,7540E-021	-3,1186E-021	-5,1582E-021	-8,0272E-021	-1,1860E-020	-1,6769E-020	-2,2854E-020	-3,0207E-020	-3,8895E-020	-4,8923E-020	-6,0202E-020	-7,2569E-020	-8,5838E-020	-9,9845E-020	-1,1443E-019	-1,2938E-019	-1,4442E-019	-1,5925E-019	-1,7362E-019	-1,8732E-019	-2,0014E-019	-2,1182E-019	-2,2211E-019	-2,3085E-019	-2,3797E-019	-2,4354E-019	-2,4768E-019	-2,5054E-019	-2,5237E-019	-2,5347E-019	-2,5431E-019	-2,5550E-019	-2,5780E-019	-2,6197E-019	-2,6807E-019	-2,7285E-019	-2,6095E-019	-1,8584E-019	-6,2832E-022	
35,00	0,0000E000	-9,6962E-024	-9,0895E-023	-3,9281E-022	-1,1430E-021	-2,6241E-021	-5,1540E-021	-9,0774E-021	-1,4767E-020	-2,2625E-020	-3,3069E-020	-4,6487E-020	-6,3156E-020	-8,3152E-020	-1,0631E-019	-1,3228E-019	-1,6067E-019	-1,9119E-019	-2,2374E-019	-2,5827E-019	-2,9449E-019	-3,3170E-019	-3,6887E-019	-4,0499E-019	-4,3932E-019	-4,7156E-019	-5,0157E-019	-5,2914E-019	-5,5386E-019	-5,7526E-019	-5,9295E-019	-6,0683E-019	-6,1707E-019	-6,2405E-019	-6,2832E-019	-6,3053E-019	-6,3147E-019	-6,3211E-019	-6,3359E-019	-6,3703E-019	-6,4287E-019	-6,4848E-019	-6,4146E-019	-5,8243E-019	-3,8543E-019	-1,2480E-021	
40,00	0,0000E000	-9,8594E-023	-5,8631E-022	-2,0078E-021	-5,1725E-021	-1,1025E-020	-2,0496E-020	-3,4377E-020	-5,3236E-020	-7,7412E-020	-1,0710E-019	-1,4250E-019	-1,8389E-019	-2,3172E-019	-2,8642E-019	-3,4809E-019	-4,1616E-019	-4,8910E-019	-5,6456E-019	-6,3999E-019	-7,1335E-019	-7,8373E-019	-8,5150E-019	-9,1769E-019	-9,8291E-019	-1,0465E-018	-1,1066E-018	-1,1609E-018	-1,2073E-018	-1,2446E-018	-1,2730E-018	-1,2932E-018	-1,3066E-018	-1,3144E-018	-1,3178E-018	-1,3180E-018	-1,3161E-018	-1,3136E-018	-1,3121E-018	-1,3123E-018	-1,3125E-018	-1,3028E-018	-1,2530E-018	-1,0879E-018	-6,8153E-019	-2,1443E-021	
45,00	0,0000E000	-6,8659E-022	-3,1378E-021	-8,4846E-021	-1,8467E-020	-3,5219E-020	-6,0981E-020	-9,7758E-020	-1,4697E-019	-2,0918E-019	-2,8390E-019	-3,6970E-019	-4,6453E-019	-5,6628E-019	-6,7342E-019	-7,8551E-019	-9,0336E-019	-1,0285E-018	-1,1625E-018	-1,3050E-018	-1,4533E-018	-1,6021E-018	-1,7441E-018	-1,8726E-018	-1,9824E-018	-2,0719E-018	-2,1431E-018	-2,2006E-018	-2,2494E-018	-2,2931E-018	-2,3326E-018	-2,3670E-018	-2,3947E-018	-2,4143E-018	-2,4251E-018	-2,4277E-018	-2,4238E-018	-2,4158E-018	-2,4055E-018	-2,3925E-018	-2,3700E-018	-2,3149E-018	-2,1687E-018	-1,8126E-018	-1,0886E-018	-3,3556E-021	
