S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	-1,7237E-034	-1,0674E-032	-2,3718E-031	-1,7331E-030	-7,4404E-030	-2,4694E-029	-7,1255E-029	-1,8334E-028	-4,2507E-028	-9,0059E-028	-1,7657E-027	-3,2455E-027	-5,6522E-027	-9,3915E-027	-1,4950E-026	-2,2870E-026	-3,3713E-026	-4,8021E-026	-6,6264E-026	-8,8782E-026	-1,1572E-025	-1,4701E-025	-1,8227E-025	-2,2084E-025	-2,6177E-025	-3,0383E-025	-3,4557E-025	-3,8539E-025	-4,2168E-025	-4,5289E-025	-4,7769E-025	-4,9513E-025	-5,0485E-025	-5,0732E-025	-5,0421E-025	-4,9921E-025	-4,9977E-025	-5,2219E-025	-6,0993E-025	-9,2229E-025	-1,9513E-026	
10,00	0,0000E000	-1,2003E-033	-8,6325E-031	-2,4016E-029	-2,6212E-028	-1,7091E-027	-7,9013E-027	-2,8525E-026	-8,5414E-026	-2,2090E-025	-5,0770E-025	-1,0590E-024	-2,0366E-024	-3,6554E-024	-6,1830E-024	-9,9319E-024	-1,5246E-023	-2,2482E-023	-3,1983E-023	-4,4051E-023	-5,8919E-023	-7,6724E-023	-9,7484E-023	-1,2108E-022	-1,4723E-022	-1,7552E-022	-2,0537E-022	-2,3607E-022	-2,6682E-022	-2,9675E-022	-3,2499E-022	-3,5069E-022	-3,7311E-022	-3,9166E-022	-4,0594E-022	-4,1582E-022	-4,2148E-022	-4,2357E-022	-4,2331E-022	-4,2291E-022	-4,2614E-022	-4,3991E-022	-4,7781E-022	-5,6867E-022	-7,3807E-022	-5,6287E-024	
15,00	0,0000E000	-4,9482E-029	-2,4338E-027	-2,8634E-026	-1,7579E-025	-7,3627E-025	-2,3838E-024	-6,4043E-024	-1,4935E-023	-3,1162E-023	-5,9414E-023	-1,0515E-022	-1,7479E-022	-2,7545E-022	-4,1449E-022	-5,9907E-022	-8,3565E-022	-1,1294E-021	-1,4837E-021	-1,9001E-021	-2,3773E-021	-2,9119E-021	-3,4975E-021	-4,1254E-021	-4,7847E-021	-5,4624E-021	-6,1443E-021	-6,8152E-021	-7,4596E-021	-8,0623E-021	-8,6095E-021	-9,0890E-021	-9,4912E-021	-9,8103E-021	-1,0044E-020	-1,0198E-020	-1,0282E-020	-1,0316E-020	-1,0337E-020	-1,0399E-020	-1,0591E-020	-1,1060E-020	-1,2048E-020	-1,3809E-020	-1,4732E-020	-7,3752E-023	
20,00	0,0000E000	-1,4682E-026	-3,1893E-025	-2,2994E-024	-1,0010E-023	-3,2028E-023	-8,3137E-023	-1,8565E-022	-3,7017E-022	-6,7507E-022	-1,1443E-021	-1,8250E-021	-2,7654E-021	-4,0118E-021	-5,6040E-021	-7,5722E-021	-9,9354E-021	-1,2699E-020	-1,5856E-020	-1,9382E-020	-2,3236E-020	-2,7365E-020	-3,1705E-020	-3,6183E-020	-4,0713E-020	-4,5206E-020	-4,9574E-020	-5,3730E-020	-5,7592E-020	-6,1086E-020	-6,4147E-020	-6,6729E-020	-6,8805E-020	-7,0370E-020	-7,1448E-020	-7,2098E-020	-7,2422E-020	-7,2582E-020	-7,2820E-020	-7,3496E-020	-7,5138E-020	-7,8488E-020	-8,4303E-020	-9,1263E-020	-8,2181E-020	-3,3420E-022	
25,00	0,0000E000	-6,8158E-025	-9,7343E-024	-5,0727E-023	-1,7051E-022	-4,4725E-022	-9,9511E-022	-1,9610E-021	-3,5128E-021	-5,8249E-021	-9,0712E-021	-1,3425E-020	-1,9051E-020	-2,6073E-020	-3,4551E-020	-4,4486E-020	-5,5856E-020	-6,8604E-020	-8,2601E-020	-9,7659E-020	-1,1356E-019	-1,3006E-019	-1,4685E-019	-1,6365E-019	-1,8018E-019	-1,9616E-019	-2,1130E-019	-2,2531E-019	-2,3794E-019	-2,4902E-019	-2,5842E-019	-2,6609E-019	-2,7199E-019	-2,7620E-019	-2,7887E-019	-2,8028E-019	-2,8085E-019	-2,8121E-019	-2,8221E-019	-2,8500E-019	-2,9107E-019	-3,0190E-019	-3,1679E-019	-3,2242E-019	-2,5448E-019	-9,2305E-022	
30,00	0,0000E000	-1,2824E-023	-1,1657E-022	-4,9792E-022	-1,4422E-021	-3,3084E-021	-6,5144E-021	-1,1534E-020	-1,8895E-020	-2,9146E-020	-4,2778E-020	-6,0122E-020	-8,1285E-020	-1,0621E-019	-1,3484E-019	-1,6718E-019	-2,0314E-019	-2,4233E-019	-2,8399E-019	-3,2727E-019	-3,7155E-019	-4,1634E-019	-4,6099E-019	-5,0467E-019	-5,4658E-019	-5,8609E-019	-6,2270E-019	-6,5588E-019	-6,8508E-019	-7,0990E-019	-7,3014E-019	-7,4585E-019	-7,5728E-019	-7,6479E-019	-7,6894E-019	-7,7051E-019	-7,7062E-019	-7,7075E-019	-7,7286E-019	-7,7930E-019	-7,9237E-019	-8,1225E-019	-8,2904E-019	-7,9571E-019	-5,6878E-019	-1,9267E-021	
35,00	0,0000E000	-1,4990E-022	-8,6656E-022	-2,9008E-021	-7,3478E-021	-1,5449E-020	-2,8387E-020	-4,7138E-020	-7,2430E-020	-1,0484E-019	-1,4494E-019	-1,9341E-019	-2,5090E-019	-3,1766E-019	-3,9305E-019	-4,7539E-019	-5,6254E-019	-6,5273E-019	-7,4528E-019	-8,4023E-019	-9,3723E-019	-1,0346E-018	-1,1295E-018	-1,2194E-018	-1,3028E-018	-1,3793E-018	-1,4488E-018	-1,5105E-018	-1,5639E-018	-1,6079E-018	-1,6425E-018	-1,6678E-018	-1,6846E-018	-1,6940E-018	-1,6974E-018	-1,6964E-018	-1,6932E-018	-1,6907E-018	-1,6921E-018	-1,7005E-018	-1,7170E-018	-1,7347E-018	-1,7200E-018	-1,5664E-018	-1,0397E-018	-3,3714E-021	
40,00	0,0000E000	-1,0789E-021	-4,8813E-021	-1,3034E-020	-2,8002E-020	-5,2727E-020	-9,0145E-020	-1,4265E-019	-2,1161E-019	-2,9707E-019	-3,9787E-019	-5,1218E-019	-6,3839E-019	-7,7590E-019	-9,2537E-019	-1,0879E-018	-1,2635E-018	-1,4494E-018	-1,6394E-018	-1,8261E-018	-2,0033E-018	-2,1686E-018	-2,3232E-018	-2,4701E-018	-2,6110E-018	-2,7439E-018	-2,8647E-018	-2,9689E-018	-3,0538E-018	-3,1187E-018	-3,1655E-018	-3,1962E-018	-3,2128E-018	-3,2182E-018	-3,2148E-018	-3,2048E-018	-3,1916E-018	-3,1795E-018	-3,1724E-018	-3,1723E-018	-3,1748E-018	-3,1559E-018	-3,0414E-018	-2,6468E-018	-1,6617E-018	-5,2331E-021	
45,00	0,0000E000	-5,0003E-021	-2,0566E-020	-4,8468E-020	-9,1586E-020	-1,5377E-019	-2,3950E-019	-3,5333E-019	-4,9906E-019	-6,7868E-019	-8,9140E-019	-1,1330E-018	-1,3961E-018	-1,6714E-018	-1,9505E-018	-2,2284E-018	-2,5046E-018	-2,7837E-018	-3,0718E-018	-3,3723E-018	-3,6816E-018	-3,9880E-018	-4,2759E-018	-4,5304E-018	-4,7436E-018	-4,9141E-018	-5,0500E-018	-5,1601E-018	-5,2519E-018	-5,3296E-018	-5,3930E-018	-5,4380E-018	-5,4632E-018	-5,4703E-018	-5,4604E-018	-5,4353E-018	-5,4012E-018	-5,3655E-018	-5,3330E-018	-5,3015E-018	-5,2536E-018	-5,1360E-018	-4,8176E-018	-4,0317E-018	-2,4243E-018	-7,4771E-021	
