S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	1,8365E-033	3,5894E-032	4,0681E-031	2,3542E-030	8,8311E-030	2,7552E-029	7,5225E-029	1,8421E-028	4,1179E-028	8,5094E-028	1,6450E-027	3,0096E-027	5,2508E-027	8,7803E-027	1,4119E-026	2,1896E-026	3,2835E-026	4,7743E-026	6,7472E-026	9,2878E-026	1,2477E-025	1,6385E-025	2,1066E-025	2,6551E-025	3,2844E-025	3,9915E-025	4,7701E-025	5,6101E-025	6,4980E-025	7,4170E-025	8,3473E-025	9,2672E-025	1,0153E-024	1,0982E-024	1,1730E-024	1,2376E-024	1,2900E-024	1,3286E-024	1,3523E-024	1,3603E-024	TRUE
10,00	0,0000E000	1,1672E-034	2,6924E-031	8,6784E-030	1,0242E-028	7,0752E-028	3,4382E-027	1,2987E-026	4,0555E-026	1,0913E-025	2,6056E-025	5,6396E-025	1,1246E-024	2,0922E-024	3,6674E-024	6,1051E-024	9,7147E-024	1,4855E-023	2,1926E-023	3,1353E-023	4,3575E-023	5,9017E-023	7,8077E-023	1,0110E-022	1,2834E-022	1,5997E-022	1,9606E-022	2,3651E-022	2,8111E-022	3,2950E-022	3,8115E-022	4,3545E-022	4,9162E-022	5,4885E-022	6,0622E-022	6,6280E-022	7,1763E-022	7,6976E-022	8,1831E-022	8,6237E-022	9,0114E-022	9,3392E-022	9,6011E-022	9,7916E-022	9,9072E-022	9,9460E-022	TRUE
15,00	0,0000E000	1,9400E-029	1,0620E-027	1,3348E-026	8,6313E-026	3,7735E-025	1,2678E-024	3,5218E-024	8,4723E-024	1,8205E-023	3,5707E-023	6,4965E-023	1,1099E-022	1,7976E-022	2,7803E-022	4,1318E-022	5,9290E-022	8,2485E-022	1,1163E-021	1,4740E-021	1,9034E-021	2,4090E-021	2,9933E-021	3,6575E-021	4,4008E-021	5,2201E-021	6,1110E-021	7,0667E-021	8,0789E-021	9,1375E-021	1,0231E-020	1,1347E-020	1,2472E-020	1,3591E-020	1,4690E-020	1,5755E-020	1,6769E-020	1,7721E-020	1,8595E-020	1,9380E-020	2,0065E-020	2,0639E-020	2,1095E-020	2,1425E-020	2,1625E-020	2,1692E-020	TRUE
20,00	0,0000E000	6,8749E-027	1,6212E-025	1,2421E-024	5,6438E-024	1,8670E-023	4,9885E-023	1,1440E-022	2,3384E-022	4,3652E-022	7,5675E-022	1,2339E-021	1,9113E-021	2,8348E-021	4,0496E-021	5,5985E-021	7,5204E-021	9,8482E-021	1,2608E-020	1,5819E-020	1,9486E-020	2,3607E-020	2,8170E-020	3,3158E-020	3,8538E-020	4,4267E-020	5,0299E-020	5,6580E-020	6,3052E-020	6,9653E-020	7,6313E-020	8,2961E-020	8,9527E-020	9,5940E-020	1,0213E-019	1,0804E-019	1,1360E-019	1,1874E-019	1,2342E-019	1,2758E-019	1,3118E-019	1,3418E-019	1,3654E-019	1,3825E-019	1,3928E-019	1,3963E-019	TRUE
25,00	0,0000E000	3,6661E-025	5,5797E-024	3,0203E-023	1,0505E-022	2,8406E-022	6,4872E-022	1,3072E-021	2,3885E-021	4,0354E-021	6,4020E-021	9,6520E-021	1,3952E-020	1,9451E-020	2,6268E-020	3,4486E-020	4,4180E-020	5,5403E-020	6,8174E-020	8,2456E-020	9,8192E-020	1,1531E-019	1,3367E-019	1,5314E-019	1,7354E-019	1,9476E-019	2,1664E-019	2,3894E-019	2,6142E-019	2,8386E-019	3,0608E-019	3,2792E-019	3,4920E-019	3,6973E-019	3,8931E-019	4,0776E-019	4,2493E-019	4,4068E-019	4,5487E-019	4,6740E-019	4,7816E-019	4,8708E-019	4,9409E-019	4,9914E-019	5,0217E-019	5,0319E-019	TRUE
30,00	0,0000E000	7,2278E-024	7,2563E-023	3,2269E-022	9,5734E-022	2,2402E-021	4,4964E-021	8,1140E-021	1,3540E-020	2,1251E-020	3,1697E-020	4,5236E-020	6,2101E-020	8,2441E-020	1,0640E-019	1,3416E-019	1,6588E-019	2,0152E-019	2,4077E-019	2,8321E-019	3,2846E-019	3,7633E-019	4,2661E-019	4,7886E-019	5,3252E-019	5,8705E-019	6,4212E-019	6,9742E-019	7,5252E-019	8,0677E-019	8,5956E-019	9,1042E-019	9,5915E-019	1,0056E-018	1,0496E-018	1,0909E-018	1,1292E-018	1,1641E-018	1,1955E-018	1,2230E-018	1,2465E-018	1,2659E-018	1,2810E-018	1,2919E-018	1,2984E-018	1,3005E-018	TRUE
35,00	0,0000E000	8,9310E-023	5,5793E-022	1,9711E-021	5,1570E-021	1,1068E-020	2,0644E-020	3,4725E-020	5,4038E-020	7,9270E-020	1,1115E-019	1,5050E-019	1,9806E-019	2,5431E-019	3,1912E-019	3,9171E-019	4,7087E-019	5,5559E-019	6,4542E-019	7,4060E-019	8,4147E-019	9,4763E-019	1,0575E-018	1,1690E-018	1,2802E-018	1,3903E-018	1,4994E-018	1,6076E-018	1,7144E-018	1,8189E-018	1,9195E-018	2,0154E-018	2,1059E-018	2,1910E-018	2,2709E-018	2,3454E-018	2,4141E-018	2,4769E-018	2,5332E-018	2,5825E-018	2,6245E-018	2,6589E-018	2,6856E-018	2,7047E-018	2,7160E-018	2,7198E-018	TRUE
40,00	0,0000E000	6,9803E-022	3,2690E-021	9,0787E-021	2,0187E-020	3,9039E-020	6,8073E-020	1,0931E-019	1,6403E-019	2,3260E-019	3,1462E-019	4,0935E-019	5,1627E-019	6,3556E-019	7,6816E-019	9,1531E-019	1,0776E-018	1,2538E-018	1,4405E-018	1,6327E-018	1,8254E-018	2,0152E-018	2,2017E-018	2,3873E-018	2,5752E-018	2,7672E-018	2,9618E-018	3,1543E-018	3,3408E-018	3,5158E-018	3,6788E-018	3,8305E-018	3,9703E-018	4,1018E-018	4,2266E-018	4,3428E-018	4,4495E-018	4,5468E-018	4,6340E-018	4,7099E-018	4,7737E-018	4,8254E-018	4,8651E-018	4,8931E-018	4,9096E-018	4,9151E-018	TRUE
45,00	0,0000E000	3,4990E-021	1,4577E-020	3,4983E-020	6,7527E-020	1,1589E-019	1,8424E-019	2,7674E-019	3,9679E-019	5,4627E-019	7,2488E-019	9,2980E-019	1,1561E-018	1,3977E-018	1,6493E-018	1,9075E-018	2,1723E-018	2,4469E-018	2,7361E-018	3,0443E-018	3,3722E-018	3,7149E-018	4,0620E-018	4,4005E-018	4,7195E-018	5,0097E-018	5,2714E-018	5,5113E-018	5,7376E-018	5,9602E-018	6,1877E-018	6,4165E-018	6,6387E-018	6,8574E-018	7,0662E-018	7,2515E-018	7,4102E-018	7,5485E-018	7,6697E-018	7,7739E-018	7,8600E-018	7,9277E-018	7,9779E-018	8,0119E-018	8,0314E-018	8,0377E-018	TRUE
50,00	0,0000E000	1,2228E-020	4,8804E-020	1,1010E-019	1,9694E-019	3,1102E-019	4,5515E-019	6,3337E-019	8,5063E-019	1,1120E-018	1,4214E-018	1,7803E-018	2,1859E-018	2,6302E-018	3,1005E-018	3,5809E-018	4,0552E-018	4,5110E-018	4,9417E-018	5,3491E-018	5,7424E-018	6,1368E-018	6,5492E-018	6,9905E-018	7,4656E-018	7,9577E-018	8,4583E-018	8,9398E-018	9,3723E-018	9,7590E-018	1,0082E-017	1,0332E-017	1,0530E-017	1,0699E-017	1,0845E-017	1,0969E-017	1,1085E-017	1,1206E-017	1,1334E-017	1,1461E-017	1,1574E-017	1,1668E-017	1,1739E-017	1,1788E-017	1,1816E-017	1,1825E-017	TRUE
55,00	0,0000E000	3,2571E-020	1,2699E-019	2,8010E-019	4,8639E-019	7,3971E-019	1,0346E-018	1,3677E-018	1,7385E-018	2,1500E-018	2,6083E-018	3,1215E-018	3,6975E-018	4,3408E-018	5,0500E-018	5,8145E-018	6,6139E-018	7,4200E-018	8,2007E-018	8,9270E-018	9,5753E-018	1,0136E-017	1,0608E-017	1,1009E-017	1,1368E-017	1,1722E-017	1,2115E-017	1,2550E-017	1,3033E-017	1,3604E-017	1,4192E-017	1,4741E-017	1,5283E-017	1,5828E-017	1,6317E-017	1,6695E-017	1,6972E-017	1,7169E-017	1,7306E-017	1,7398E-017	1,7459E-017	1,7495E-017	1,7515E-017	1,7522E-017	1,7523E-017	1,7523E-017	TRUE
60,00	0,0000E000	7,1982E-020	2,7016E-019	5,8920E-019	1,0134E-018	1,5233E-018	2,0978E-018	2,7165E-018	3,3625E-018	4,0247E-018	4,6990E-018	5,3894E-018	6,1075E-018	6,8704E-018	7,6975E-018	8,6061E-018	9,6055E-018	1,0692E-017	1,1843E-017	1,3025E-017	1,4186E-017	1,5284E-017	1,6262E-017	1,7091E-017	1,7748E-017	1,8220E-017	1,8521E-017	1,8689E-017	1,8790E-017	1,8892E-017	1,8973E-017	1,9060E-017	1,9292E-017	1,9724E-017	2,0213E-017	2,0618E-017	2,0975E-017	2,1330E-017	2,1713E-017	2,2120E-017	2,2525E-017	2,2888E-017	2,3180E-017	2,3386E-017	2,3505E-017	2,3544E-017	TRUE
65,00	0,0000E000	1,4475E-019	4,9583E-019	1,0621E-018	1,8167E-018	2,7244E-018	3,7447E-018	4,8342E-018	5,9512E-018	7,0586E-018	8,1275E-018	9,1403E-018	1,0092E-017	1,0993E-017	1,1865E-017	1,2741E-017	1,3662E-017	1,4670E-017	1,5798E-017	1,7065E-017	1,8463E-017	1,9966E-017	2,1498E-017	2,3027E-017	2,4489E-017	2,5776E-017	2,6864E-017	2,7731E-017	2,8319E-017	2,8620E-017	2,8659E-017	2,8515E-017	2,8301E-017	2,8068E-017	2,7723E-017	2,7216E-017	2,6677E-017	2,6247E-017	2,6018E-017	2,6000E-017	2,6135E-017	2,6333E-017	2,6519E-017	2,6651E-017	2,6726E-017	2,6749E-017	TRUE
70,00	0,0000E000	2,9109E-019	8,3184E-019	1,7084E-018	2,8847E-018	4,3125E-018	5,9334E-018	7,6824E-018	9,4911E-018	1,1292E-017	1,3025E-017	1,4637E-017	1,6092E-017	1,7368E-017	1,8462E-017	1,9392E-017	2,0193E-017	2,0919E-017	2,1637E-017	2,2423E-017	2,3350E-017	2,4473E-017	2,5795E-017	2,7365E-017	2,9111E-017	3,0866E-017	3,2693E-017	3,4611E-017	3,6377E-017	3,7918E-017	3,9207E-017	4,0236E-017	4,0977E-017	4,1373E-017	4,1427E-017	4,1201E-017	4,0815E-017	4,0396E-017	4,0036E-017	3,9769E-017	3,9574E-017	3,9408E-017	3,9246E-017	3,9094E-017	3,8981E-017	3,8940E-017	TRUE
75,00	0,0000E000	6,2033E-019	1,3597E-018	2,5650E-018	4,1961E-018	6,1980E-018	8,5023E-018	1,1029E-017	1,3690E-017	1,6394E-017	1,9049E-017	2,1568E-017	2,3878E-017	2,5916E-017	2,7641E-017	2,9028E-017	3,0076E-017	3,0807E-017	3,1264E-017	3,1519E-017	3,1660E-017	3,1801E-017	3,2062E-017	3,2584E-017	3,3361E-017	3,4316E-017	3,5705E-017	3,7665E-017	3,9605E-017	4,1451E-017	4,3291E-017	4,5309E-017	4,7503E-017	4,9537E-017	5,1354E-017	5,2924E-017	5,4227E-017	5,5262E-017	5,6036E-017	5,6571E-017	5,6898E-017	5,7054E-017	5,7089E-017	5,7056E-017	5,7009E-017	5,6988E-017	TRUE
80,00	0,0000E000	1,3851E-018	2,2942E-018	3,7845E-018	5,8186E-018	8,3440E-018	1,1293E-017	1,4583E-017	1,8119E-017	2,1796E-017	2,5503E-017	2,9130E-017	3,2569E-017	3,5725E-017	3,8517E-017	4,0879E-017	4,2764E-017	4,4147E-017	4,5020E-017	4,5400E-017	4,5327E-017	4,4871E-017	4,4127E-017	4,3227E-017	4,2279E-017	4,1443E-017	4,1139E-017	4,1587E-017	4,1900E-017	4,2053E-017	4,2428E-017	4,3722E-017	4,6032E-017	4,8310E-017	5,0456E-017	5,2435E-017	5,4226E-017	5,5820E-017	5,7227E-017	5,8464E-017	5,9545E-017	6,0466E-017	6,1210E-017	6,1751E-017	6,2075E-017	6,2182E-017	TRUE
85,00	0,0000E000	3,0542E-018	4,0637E-018	5,7285E-018	8,0206E-018	1,0899E-017	1,4310E-017	1,8181E-017	2,2427E-017	2,6946E-017	3,1625E-017	3,6339E-017	4,0965E-017	4,5383E-017	4,9480E-017	5,3161E-017	5,6344E-017	5,8964E-017	6,0973E-017	6,2337E-017	6,3040E-017	6,3085E-017	6,2495E-017	6,1323E-017	5,9659E-017	5,7670E-017	5,5660E-017	5,3781E-017	5,1361E-017	4,8552E-017	4,6130E-017	4,5520E-017	4,6914E-017	4,8156E-017	4,9054E-017	4,9586E-017	4,9792E-017	4,9782E-017	4,9721E-017	4,9783E-017	5,0075E-017	5,0595E-017	5,1230E-017	5,1815E-017	5,2212E-017	5,2350E-017	TRUE
90,00	0,0000E000	6,3822E-018	7,3902E-018	9,0631E-018	1,1389E-017	1,4346E-017	1,7905E-017	2,2020E-017	2,6630E-017	3,1654E-017	3,6994E-017	4,2535E-017	4,8150E-017	5,3706E-017	5,9073E-017	6,4133E-017	6,8781E-017	7,2931E-017	7,6509E-017	7,9452E-017	8,1711E-017	8,3246E-017	8,4023E-017	8,4017E-017	8,3214E-017	8,1618E-017	7,9273E-017	7,6185E-017	7,2160E-017	6,7486E-017	6,3119E-017	6,0831E-017	6,0785E-017	6,0119E-017	5,8516E-017	5,5939E-017	5,2531E-017	4,8649E-017	4,4821E-017	4,1600E-017	3,9374E-017	3,8217E-017	3,7892E-017	3,8000E-017	3,8184E-017	3,8259E-017	TRUE
95,00	0,0000E000	1,2465E-017	1,3347E-017	1,4823E-017	1,6899E-017	1,9580E-017	2,2868E-017	2,6753E-017	3,1211E-017	3,6201E-017	4,1660E-017	4,7498E-017	5,3608E-017	5,9862E-017	6,6124E-017	7,2257E-017	7,8139E-017	8,3670E-017	8,8756E-017	9,3317E-017	9,7296E-017	1,0064E-016	1,0331E-016	1,0526E-016	1,0642E-016	1,0676E-016	1,0622E-016	1,0473E-016	1,0229E-016	9,9078E-017	9,5737E-017	9,3475E-017	9,2244E-017	8,9687E-017	8,5407E-017	7,9337E-017	7,1748E-017	6,3323E-017	5,5067E-017	4,8039E-017	4,2986E-017	4,0071E-017	3,8864E-017	3,8630E-017	3,8709E-017	3,8760E-017	TRUE
100,00	0,0000E000	2,2445E-017	2,3075E-017	2,4143E-017	2,5677E-017	2,7709E-017	3,0274E-017	3,3403E-017	3,7122E-017	4,1438E-017	4,6338E-017	5,1783E-017	5,7703E-017	6,4000E-017	7,0550E-017	7,7216E-017	8,3864E-017	9,0375E-017	9,6627E-017	1,0252E-016	1,0799E-016	1,1302E-016	1,1756E-016	1,2157E-016	1,2502E-016	1,2787E-016	1,3009E-016	1,3164E-016	1,3246E-016	1,3256E-016	1,3207E-016	1,3132E-016	1,3001E-016	1,2690E-016	1,2157E-016	1,1393E-016	1,0434E-016	9,3665E-017	8,3213E-017	7,4356E-017	6,8054E-017	6,4504E-017	6,3133E-017	6,2971E-017	6,3158E-017	6,3251E-017	FALSE

10
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	2,3823E-033	7,5157E-032	9,4576E-031	5,7623E-030	2,5021E-029	8,9769E-029	2,7653E-028	7,5223E-028	1,8425E-027	4,1186E-027	8,5086E-027	1,6451E-026	3,0096E-026	5,2509E-026	8,7804E-026	1,4119E-025	2,1896E-025	3,2835E-025	4,7743E-025	6,7472E-025	9,2878E-025	1,2477E-024	1,6385E-024	2,1066E-024	2,6551E-024	3,2844E-024	3,9915E-024	4,7701E-024	5,6101E-024	6,4980E-024	7,4170E-024	8,3473E-024	9,2672E-024	1,0153E-023	1,0982E-023	1,1730E-023	1,2376E-023	1,2900E-023	1,3286E-023	1,3523E-023	1,3603E-023	TRUE
