S 10 18 8
1
0,08726646	0,17453293	0,26179939	0,34906585	0,43633231	0,52359878	0,61086524	0,6981317	0,78539816	0,87266463	0,95993109	1,04719755	1,13446401	1,22173048	1,30899694	1,3962634	1,48352986	1,57079633	
020,000	-1,8115E-007	-5,3575E-006	-4,4308E-005	-1,9374E-004	-5,7906E-004	-1,3483E-003	-2,6306E-003	-4,4798E-003	-6,8212E-003	-9,4525E-003	-1,2093E-002	-1,4415E-002	-1,6122E-002	-1,7095E-002	-1,7511E-002	-1,7851E-002	-1,7388E-002	-3,6124E-005	TRUE
025,000	-1,0444E-005	-1,5776E-004	-7,8983E-004	-2,4705E-003	-5,9241E-003	-1,1825E-002	-2,0426E-002	-3,1275E-002	-4,3287E-002	-5,5140E-002	-6,5691E-002	-7,4148E-002	-8,0037E-002	-8,3235E-002	-8,4290E-002	-8,4029E-002	-7,4340E-002	-1,3008E-004	TRUE
030,000	-1,4614E-004	-1,5143E-003	-6,4914E-003	-1,7325E-002	-3,4935E-002	-5,8703E-002	-8,7273E-002	-1,1933E-001	-1,5345E-001	-1,8731E-001	-2,1768E-001	-2,4139E-001	-2,5641E-001	-2,6250E-001	-2,6142E-001	-2,5254E-001	-2,0378E-001	-3,1740E-004	TRUE
035,000	-1,5957E-003	-7,9895E-003	-2,5451E-002	-6,0799E-002	-1,1845E-001	-1,9696E-001	-2,8792E-001	-3,7855E-001	-4,5656E-001	-5,1446E-001	-5,5087E-001	-5,6872E-001	-5,7176E-001	-5,6254E-001	-5,4223E-001	-5,0155E-001	-3,7380E-001	-5,4212E-004	TRUE
040,000	-9,8908E-003	-4,4118E-002	-9,6918E-002	-1,7144E-001	-2,7131E-001	-4,0180E-001	-5,6430E-001	-7,5064E-001	-9,4142E-001	-1,1111E000	-1,2377E000	-1,3098E000	-1,3275E000	-1,2982E000	-1,2275E000	-1,0887E000	-7,4361E-001	-1,0016E-003	TRUE
045,000	-3,5725E-002	-1,7259E-001	-3,4994E-001	-5,4948E-001	-7,3937E-001	-9,0380E-001	-1,0447E000	-1,1771E000	-1,3176E000	-1,4717E000	-1,6269E000	-1,7579E000	-1,8398E000	-1,8574E000	-1,7971E000	-1,6079E000	-1,0902E000	-1,4532E-003	TRUE
050,000	-9,6885E-002	-4,1828E-001	-8,6264E-001	-1,3765E000	-1,8694E000	-2,2655E000	-2,5153E000	-2,6059E000	-2,5593E000	-2,4220E000	-2,2476E000	-2,0768E000	-1,9239E000	-1,7792E000	-1,6125E000	-1,3589E000	-8,7074E-001	-1,1300E-003	TRUE
055,000	-2,1468E-001	-6,9893E-001	-1,4453E000	-2,3775E000	-3,3576E000	-4,2629E000	-4,9833E000	-5,4390E000	-5,5949E000	-5,4652E000	-5,1024E000	-4,5784E000	-3,9694E000	-3,3348E000	-2,6852E000	-1,9639E000	-1,0755E000	-1,2839E-003	TRUE

10
